-- first pick your cone --
normal cone;この;kono;you...
waffle cone;ちょう;chō;super...
bowl;nothing!; ;sometimes you want to savor the ice cream, not the container
-- adjective (ice cream) --
vanilla;ばか;baka;...stupid...
chocolate;くそ;kuso;...sh*tty...
strawberry;すけべ;sukebe;...creepy...
mint;まぬけ;manuke;...lazy...
pecan;ぶす;busu;...ugly...
rum raisin;くづ;kuzu;...scummy...
-- noun topping --
chocolate syrup;やろう;yarō;...bastard!
hot fudge;おとこ;otoko;...man!
sprinkles;おんな;onna;...woman!
gummy bears;ババア;babaa;...old hag!
pineapple;ジジ;jiji;...old geezer!
toothpaste & orange juice;ガキ;gaki;...little brat!
-- emphatic --
cherry;め;me;>:O!!!
